Player,Team,GP,Position,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,#
"Sajonia, Bryan",FEU,12,G,23.28,11.2,4.0,11.75,34.0,1.1666666666666667,5.666666666666667,20.59,2.0,2.5,80.0,1.5,2.6666666666666665,4.2,1.7,1.6,0.3,1.3,3.1,57
"Torres, Xyrus",FEU,14,F,26.38,10.6,3.6428571428571432,13.357142857142856,27.3,2.5714285714285716,9.714285714285714,26.47,0.7857142857142857,1.1428571428571428,68.75,0.6428571428571429,1.9285714285714286,2.6,0.6,1.2,0.1,0.6,1.5,58
"Sleat, Patrick",FEU,14,G,20.11,8.8,3.5,7.214285714285714,48.5,0.7142857142857143,2.5,28.57,1.0714285714285714,1.5,71.43,1.6428571428571428,2.142857142857143,3.8,1.8,0.9,0.1,1.7,2.4,59
"Anonuevo, Cholo",FEU,14,F,25.41,6.2,2.2142857142857144,6.785714285714286,32.6,0.35714285714285715,2.2142857142857144,16.13,1.4285714285714286,2.9285714285714284,48.78,2.5,3.7857142857142856,6.3,2.1,1.6,0.9,2.2,2.4,60
"Bautista, Kyle",FEU,12,G,12.28,5.3,2.0,5.416666666666666,36.9,0.8333333333333334,3.0,27.78,0.4166666666666667,0.5833333333333334,71.43,0.5,1.25,1.8,1.4,0.5,0.1,0.8,0.5,61
"Tchuente, Patrick",FEU,14,C,19.19,5.1,1.8571428571428572,4.642857142857143,40.0,0.0,0.21428571428571427,0.0,1.3571428571428572,2.7142857142857144,50.0,3.142857142857143,4.142857142857143,7.3,0.3,0.8,1.1,0.7,2.1,62
"Sandagon, Ace",FEU,13,F,12.5,3.4,1.1538461538461537,1.8461538461538463,62.5,0.0,0.0,0.0,1.0769230769230769,1.6153846153846154,66.67,1.3076923076923077,1.7692307692307692,3.1,0.6,0.2,0.5,1.2,1.7,63
"Alforque, Royce",FEU,14,G,19.58,2.6,1.1428571428571428,4.5,25.4,0.14285714285714285,1.2857142857142858,11.11,0.21428571428571427,0.42857142857142855,50.0,1.2857142857142858,2.857142857142857,4.1,2.9,1.6,0.2,1.5,1.6,64
"Tempra, James",FEU,13,F,10.36,1.5,0.38461538461538464,1.3076923076923075,29.4,0.0,0.15384615384615385,0.0,0.7692307692307693,1.0,76.92,0.6153846153846154,1.3846153846153846,2.0,0.5,0.2,0.2,0.8,0.8,65
"Bagunu, Aeron",FEU,12,,5.06,1.5,0.5833333333333333,2.3333333333333335,25.0,0.3333333333333333,1.75,19.05,0.0,0.0,0.0,0.5833333333333334,0.4166666666666667,1.0,0.3,0.2,0.1,0.7,0.8,66
"Songcuya, Menard",FEU,3,,4.08,1.3,0.3333333333333333,0.6666666666666666,50.0,0.0,0.3333333333333333,0.0,0.6666666666666666,1.3333333333333333,50.0,0.3333333333333333,1.0,1.3,0.0,0.0,0.0,0.0,0.7,67
"Ona, Miguel",FEU,5,,5.48,1.2,0.4,0.8,50.0,0.0,0.0,0.0,0.4,1.2,33.33,1.0,0.4,1.4,0.0,0.6,0.0,0.0,0.8,68
"Gravera, Rodel",FEU,5,F,5.18,1.2,0.4,1.8,22.2,0.4,1.6,25.0,0.0,0.0,0.0,0.4,1.0,1.4,0.0,0.2,0.0,0.6,0.0,69
"Celzo, Daniel",FEU,11,F,4.44,1.1,0.36363636363636365,0.9090909090909091,40.0,0.0,0.0,0.0,0.36363636363636365,0.8181818181818182,44.44,0.8181818181818182,0.6363636363636364,1.5,0.3,0.1,0.3,0.2,1.2,70
"Guibao, Kevin",FEU,6,F,1.28,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,71
"Figueroa, John",NU,14,F,24.46,9.3,3.142857142857143,7.142857142857142,43.4,0.14285714285714285,1.2857142857142858,11.11,2.357142857142857,2.9285714285714284,80.49,1.4285714285714286,5.5,7.4,1.9,1.3,0.6,2.3,2.3,72
"Baclaan, Kean",NU,13,G,22.15,8.4,3.0,9.923076923076923,30.3,1.3076923076923077,4.923076923076923,26.56,0.6153846153846154,0.7692307692307693,80.0,1.0769230769230769,2.3076923076923075,3.4,4.2,1.6,0.0,3.4,2.1,73
"John, Omar",NU,14,,26.15,7.8,3.642857142857143,7.428571428571428,48.2,0.0,0.07142857142857142,0.0,0.5,1.4285714285714286,35.0,3.0714285714285716,4.142857142857143,7.2,1.3,0.7,1.6,3.0,2.9,74
"Malonzo, Michael",NU,14,,24.57,7.0,2.6428571428571432,4.857142857142858,56.0,0.07142857142857142,0.6428571428571429,11.11,1.3571428571428572,1.7857142857142858,76.0,2.5,3.642857142857143,6.2,1.5,1.1,0.7,1.2,2.4,75
"Enriquez, Steve",NU,11,G,18.1,6.9,2.2727272727272725,7.454545454545455,29.9,1.0,3.5454545454545454,28.21,1.8181818181818181,3.272727272727273,55.56,0.6363636363636364,1.0909090909090908,1.8,2.7,1.3,0.0,1.5,0.9,76
"Manansala, Jolo",NU,14,F,15.08,5.4,2.357142857142857,4.142857142857143,55.0,0.21428571428571427,0.6428571428571429,33.33,0.8571428571428571,1.4285714285714286,60.0,2.357142857142857,2.7857142857142856,5.1,0.6,0.5,0.3,0.8,0.9,77
"Yu, Patrick",NU,14,G,16.22,4.6,1.7142857142857142,5.428571428571429,30.5,0.5,2.0,25.0,0.8571428571428571,1.2857142857142858,66.67,0.6428571428571429,2.2142857142857144,2.9,1.8,0.6,0.2,1.6,1.4,78
"Palacielo, Justin",NU,13,,4.47,2.6,1.2307692307692308,2.230769230769231,57.1,0.0,0.07692307692307693,0.0,0.15384615384615385,0.3076923076923077,50.0,0.7692307692307693,0.46153846153846156,1.3,0.4,0.2,0.0,0.6,0.8,79
"Galinato, John",NU,14,,7.53,2.1,0.7857142857142857,3.2857142857142856,25.5,0.35714285714285715,1.5714285714285714,22.73,0.21428571428571427,0.42857142857142855,50.0,0.14285714285714285,0.8571428571428571,0.9,0.4,0.1,0.0,0.6,1.3,80
"Minerva, Robert",NU,14,F,9.01,2.0,0.7142857142857142,2.071428571428571,35.5,0.14285714285714285,0.8571428571428571,16.67,0.42857142857142855,0.6428571428571429,66.67,0.9285714285714286,1.2142857142857142,2.2,0.4,0.5,0.1,0.3,1.6,81
"Mahinay, Germy",NU,14,C,5.53,1.0,0.35714285714285715,1.5,24.0,0.0,0.14285714285714285,0.0,0.21428571428571427,0.2857142857142857,75.0,0.9285714285714286,1.1428571428571428,2.2,0.2,0.1,0.1,0.5,1.7,82
"Tibayan, Jonas",NU,12,F,3.05,0.8,0.4166666666666667,0.75,55.6,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.4166666666666667,0.0,0.4,0.2,0.2,0.0,0.3,0.7,83
"Tulabut, Nat",NU,6,,1.05,0.3,0.16666666666666666,0.3333333333333333,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.2,0.0,0.2,0.0,0.7,0.0,84
"Villegas, Luis",UE,14,,29.54,13.1,4.357142857142857,9.714285714285715,44.9,1.9285714285714286,5.5,35.06,2.5,2.9285714285714284,85.37,2.2142857142857144,5.857142857142857,8.1,3.8,1.9,0.8,2.0,2.4,85
"Paranada, Kyle",UE,14,G,23.04,11.6,3.7142857142857144,10.357142857142858,35.9,1.4285714285714286,5.357142857142857,26.67,2.7857142857142856,3.5,79.59,0.42857142857142855,2.4285714285714284,2.9,4.2,1.6,0.1,2.1,2.6,86
"Paranada, Nick",UE,14,G,21.02,9.9,3.2857142857142856,9.857142857142858,33.3,1.8571428571428572,5.428571428571429,34.21,1.4285714285714286,1.9285714285714286,74.07,0.6428571428571429,2.357142857142857,3.0,3.1,0.7,0.0,1.1,1.0,87
"Stevens, Jalen",UE,14,C,28.24,9.4,4.285714285714286,7.0,61.2,0.0,0.0,0.0,0.7857142857142857,2.5714285714285716,30.56,2.5714285714285716,3.7142857142857144,6.3,1.0,0.9,0.4,0.9,2.6,88
"Payawal, Calvin",UE,14,G,20.52,8.3,2.6428571428571432,7.428571428571429,35.6,2.0714285714285716,5.714285714285714,36.25,0.9285714285714286,1.3571428571428572,68.42,0.9285714285714286,3.2857142857142856,4.2,1.1,0.9,0.1,1.1,2.1,89
"Pagsanjan, Harvey",UE,13,G,25.52,5.1,1.8461538461538463,6.538461538461538,28.2,0.6153846153846154,2.6153846153846154,23.53,0.7692307692307693,1.5384615384615385,50.0,1.1538461538461537,2.923076923076923,4.1,0.8,0.9,0.2,1.2,2.2,90
